Ic (@Vce=2V) = {0.1092mA, 0.2263mA, 0.4563mA, 
0.8844mA, 1.613mA, 2.723mA, 4.235mA, 6.086mA, 
8.004mA, 9.785mA, 11.56mA, 13.35mA, 15.18mA}

H21 vs. freq
Point prm/cv          freq1       H21_dB.m
  383  33/ 7  3.400000E+010 -1.650919E-001
  384  34/ 7  3.500000E+010 -3.771192E-001
  385  35/ 7  3.600000E+010 -5.476558E-001
  386  36/ 7  3.700000E+010 -7.636302E-001
  387  37/ 7  3.800000E+010 -9.639714E-001
  388  38/ 7  3.900000E+010 -1.193173E+000
  389  39/ 7  4.000000E+010 -1.371800E+000
  390  40/ 7  4.100000E+010 -1.552260E+000
  391  41/ 7  4.200000E+010 -1.737532E+000
  392  42/ 7  4.300000E+010 -1.892683E+000
  393  43/ 7  4.400000E+010 -2.066992E+000
  394  44/ 7  4.500000E+010 -2.230932E+000
  395  45/ 7  4.600000E+010 -2.407043E+000
  396  46/ 7  4.700000E+010 -2.531587E+000
  397  47/ 7  4.800000E+010 -2.695167E+000
  398  48/ 7  4.900000E+010 -2.924534E+000
  399  49/ 7  5.000000E+010 -2.993496E+000
  400   0/ 8  1.000000E+009  2.233727E+001
  401   1/ 8  2.000000E+009  1.653833E+001
  402   2/ 8  3.000000E+009  1.302241E+001
  403   3/ 8  4.000000E+009  1.067998E+001
  404   4/ 8  5.000000E+009  8.870199E+000
  405   5/ 8  6.000000E+009  7.406404E+000
  406   6/ 8  7.000000E+009  6.139432E+000
  407   7/ 8  8.000000E+009  5.122948E+000
  408   8/ 8  9.000000E+009  4.190714E+000
  409   9/ 8  1.000000E+010  3.398871E+000
  410  10/ 8  1.100000E+010  2.676812E+000
  411  11/ 8  1.200000E+010  2.029781E+000
  412  12/ 8  1.300000E+010  1.481048E+000
  413  13/ 8  1.400000E+010  9.403906E-001
  414  14/ 8  1.500000E+010  4.381272E-001
  415  15/ 8  1.600000E+010 -1.793022E-002
  416  16/ 8  1.700000E+010 -4.298843E-001
  417  17/ 8  1.800000E+010 -8.570399E-001
  418  18/ 8  1.900000E+010 -1.283217E+000
  419  19/ 8  2.000000E+010 -1.673633E+000
  420  20/ 8  2.100000E+010 -2.019335E+000
  421  21/ 8  2.200000E+010 -2.375483E+000
  422  22/ 8  2.300000E+010 -2.750389E+000
  423  23/ 8  2.400000E+010 -3.111184E+000
  424  24/ 8  2.500000E+010 -3.394428E+000
  425  25/ 8  2.600000E+010 -3.724272E+000
  426  26/ 8  2.700000E+010 -4.079944E+000
  427  27/ 8  2.800000E+010 -4.293550E+000
  428  28/ 8  2.900000E+010 -4.507890E+000
  429  29/ 8  3.000000E+010 -4.706228E+000
  430  30/ 8  3.100000E+010 -4.915875E+000
  431  31/ 8  3.200000E+010 -5.052239E+000
  432  32/ 8  3.300000E+010 -5.195714E+000
  433  33/ 8  3.400000E+010 -5.401405E+000
  434  34/ 8  3.500000E+010 -5.581027E+000
  435  35/ 8  3.600000E+010 -5.723601E+000
  436  36/ 8  3.700000E+010 -5.911149E+000
  437  37/ 8  3.800000E+010 -6.074952E+000
  438  38/ 8  3.900000E+010 -6.281145E+000
  439  39/ 8  4.000000E+010 -6.434449E+000
  440  40/ 8  4.100000E+010 -6.586724E+000
  441  41/ 8  4.200000E+010 -6.749961E+000
  442  42/ 8  4.300000E+010 -6.873317E+000
  443  43/ 8  4.400000E+010 -7.023776E+000
  444  44/ 8  4.500000E+010 -7.156363E+000
  445  45/ 8  4.600000E+010 -7.297760E+000
  446  46/ 8  4.700000E+010 -7.407595E+000
  447  47/ 8  4.800000E+010 -7.572483E+000
  448  48/ 8  4.900000E+010 -7.762370E+000
  449  49/ 8  5.000000E+010 -7.804699E+000
  450   0/ 9  1.000000E+009  1.784817E+001
  451   1/ 9  2.000000E+009  1.199311E+001
  452   2/ 9  3.000000E+009  8.589786E+000
  453   3/ 9  4.000000E+009  6.204722E+000
  454   4/ 9  5.000000E+009  4.375883E+000
  455   5/ 9  6.000000E+009  2.893366E+000
  456   6/ 9  7.000000E+009  1.646174E+000
  457   7/ 9  8.000000E+009  5.944531E-001
  458   8/ 9  9.000000E+009 -3.331965E-001
  459   9/ 9  1.000000E+010 -1.147829E+000
  460  10/ 9  1.100000E+010 -1.882506E+000
  461  11/ 9  1.200000E+010 -2.550770E+000
  462  12/ 9  1.300000E+010 -3.139266E+000
  463  13/ 9  1.400000E+010 -3.690823E+000
  464  14/ 9  1.500000E+010 -4.202325E+000
  465  15/ 9  1.600000E+010 -4.679379E+000
  466  16/ 9  1.700000E+010 -5.113838E+000
  467  17/ 9  1.800000E+010 -5.539446E+000
  468  18/ 9  1.900000E+010 -5.946503E+000
  469  19/ 9  2.000000E+010 -6.327609E+000
  470  20/ 9  2.100000E+010 -6.680818E+000
  471  21/ 9  2.200000E+010 -7.021794E+000
  472  22/ 9  2.300000E+010 -7.366596E+000
  473  23/ 9  2.400000E+010 -7.700028E+000
  474  24/ 9  2.500000E+010 -7.979470E+000
  475  25/ 9  2.600000E+010 -8.287434E+000
  476  26/ 9  2.700000E+010 -8.596212E+000
  477  27/ 9  2.800000E+010 -8.829575E+000
  478  28/ 9  2.900000E+010 -9.052346E+000
  479  29/ 9  3.000000E+010 -9.271797E+000
  480  30/ 9  3.100000E+010 -9.492800E+000
  481  31/ 9  3.200000E+010 -9.656205E+000
  482  32/ 9  3.300000E+010 -9.831569E+000
  483  33/ 9  3.400000E+010 -1.004966E+001
  484  34/ 9  3.500000E+010 -1.021893E+001
  485  35/ 9  3.600000E+010 -1.037177E+001
  486  36/ 9  3.700000E+010 -1.056741E+001
  487  37/ 9  3.800000E+010 -1.072807E+001
  488  38/ 9  3.900000E+010 -1.090655E+001
  489  39/ 9  4.000000E+010 -1.106872E+001
  490  40/ 9  4.100000E+010 -1.123514E+001
  491  41/ 9  4.200000E+010 -1.135623E+001
  492  42/ 9  4.300000E+010 -1.147713E+001
  493  43/ 9  4.400000E+010 -1.163234E+001
  494  44/ 9  4.500000E+010 -1.178389E+001
  495  45/ 9  4.600000E+010 -1.188880E+001
  496  46/ 9  4.700000E+010 -1.200094E+001
  497  47/ 9  4.800000E+010 -1.222021E+001
  498  48/ 9  4.900000E+010 -1.225635E+001
  499  49/ 9  5.000000E+010 -1.226599E+001
  500   0/10  1.000000E+009  1.523810E+001
  501   1/10  2.000000E+009  9.451629E+000
  502   2/10  3.000000E+009  6.043387E+000
  503   3/10  4.000000E+009  3.628083E+000
  504   4/10  5.000000E+009  1.773876E+000
  505   5/10  6.000000E+009  2.783464E-001
  506   6/10  7.000000E+009 -9.887989E-001
  507   7/10  8.000000E+009 -2.056626E+000
  508   8/10  9.000000E+009 -3.000839E+000
  509   9/10  1.000000E+010 -3.833588E+000
  510  10/10  1.100000E+010 -4.584207E+000
  511  11/10  1.200000E+010 -5.273406E+000
  512  12/10  1.300000E+010 -5.880074E+000
  513  13/10  1.400000E+010 -6.461648E+000
  514  14/10  1.500000E+010 -6.994685E+000
  515  15/10  1.600000E+010 -7.492221E+000
  516  16/10  1.700000E+010 -7.949863E+000
  517  17/10  1.800000E+010 -8.400222E+000
  518  18/10  1.900000E+010 -8.814435E+000
  519  19/10  2.000000E+010 -9.214309E+000
  520  20/10  2.100000E+010 -9.580383E+000
  521  21/10  2.200000E+010 -9.938361E+000
  522  22/10  2.300000E+010 -1.029369E+001
  523  23/10  2.400000E+010 -1.062895E+001
  524  24/10  2.500000E+010 -1.092332E+001
  525  25/10  2.600000E+010 -1.124415E+001
  526  26/10  2.700000E+010 -1.155034E+001
  527  27/10  2.800000E+010 -1.179897E+001
