Ic (@Vce=1.5V) = {0.170mA, 0.3653mA, 0.7346mA, 1.391mA, 2.528mA, 
4.373mA, 7.044mA, 10.49mA, 14.56mA, 19.11mA, 23.72mA, 27.26mA,
30.26mA, 33.18mA}

H21 vs. freq
Point prm/cv                      freq                  H21_dB.m
  156  62/ 1  6.30000000000000000E+010 -4.55813291828513110E+000
  157  63/ 1  6.40000000000000000E+010 -4.80836385063916080E+000
  158  64/ 1  6.50000000000000000E+010 -4.75444007315970560E+000
  159  65/ 1  6.60000000000000000E+010 -4.89638250106356490E+000
  160  66/ 1  6.70000000000000000E+010 -5.03683855064226900E+000
  161  67/ 1  6.80000000000000000E+010 -4.87171337379418020E+000
  162  68/ 1  6.90000000000000000E+010 -5.00134166821732860E+000
  163  69/ 1  7.00000000000000000E+010 -4.59969712158284680E+000
  164  70/ 1  7.10000000000000000E+010 -4.87212907313463980E+000
  165  71/ 1  7.20000000000000000E+010 -4.76899573330540070E+000
  166  72/ 1  7.30000000000000000E+010 -5.01428484717254190E+000
  167  73/ 1  7.40000000000000000E+010 -4.82831182581740490E+000
  168  74/ 1  7.50000000000000000E+010 -5.01864120276182120E+000
  169  75/ 1  7.60000000000000000E+010 -5.04162819374981550E+000
  170  76/ 1  7.70000000000000000E+010 -5.21426235436034970E+000
  171  77/ 1  7.80000000000000000E+010 -5.25385054703254720E+000
  172  78/ 1  7.90000000000000000E+010 -5.08195248771375230E+000
  173  79/ 1  8.00000000000000000E+010 -4.98293157042660530E+000
  174  80/ 1  8.10000000000000000E+010 -5.87635242227321620E+000
  175  81/ 1  8.20000000000000000E+010 -5.85043955231036340E+000
  176  82/ 1  8.30000000000000000E+010 -5.18998706595043300E+000
  177  83/ 1  8.40000000000000000E+010 -4.95776371647386770E+000
  178  84/ 1  8.50000000000000000E+010 -5.57880755935206450E+000
  179  85/ 1  8.60000000000000000E+010 -5.46681949142211380E+000
  180  86/ 1  8.70000000000000000E+010 -5.54267666252686290E+000
  181  87/ 1  8.80000000000000000E+010 -5.60356277093341240E+000
  182  88/ 1  8.90000000000000000E+010 -5.77679513354281670E+000
  183  89/ 1  9.00000000000000000E+010 -5.79165492347094180E+000
  184  90/ 1  9.10000000000000000E+010 -5.21317335226657970E+000
